,Sentences
0,"Welcome, everyone and thank you for joining us"
1,"On the call with me today are Benno Dorer, Clorox' Chairman and CEO; Steve Robb, our Chief Financial Officer"
2,We're broadcasting this call over the Internet and a replay of the call will be available for seven days at our website
3,", that's thecloroxcompany"
4,com
5,"Let me remind you that on today's call, we'll refer to certain non-GAAP financial measures, including but not limited to free cash flow, EBIT margin, debt to EBITDA, and economic profit"
6,Management believes that providing insights on these measures enables investors to better understand and analyze our ongoing results of operations
7,"Reconciliations with the most directly comparable financial measures determined in accordance with GAAP can be found in today's press release, this webcast's prepared remarks or supplemental information available in the financial results of our website as well as in our filings with the SEC"
8,"In particular, it may be helpful to refer to tables located at the end of today's earnings release"
9,Please recognize that today's discussion contains forward-looking statements
10,Actual results or outcomes could differ materially from management's expectations and plans
11,Please review our most recent 10-K filing with the SEC and our other SEC filings for a description of important factors that could cause results or outcome to differ materially from management's expectations and plans
12,The company undertakes no obligation to publicly update or revise any forward-looking statements
13,"With that, I'll cover our Q1 business performance, discussing highlights in each of our segments"
14,Steve will then address our financial results as well as our updated outlook for fiscal year 2018.
15,"Finally, Benno will close with his perspective on the business followed by Q&A"
16,"For the total company, first quarter volume and sales, each grew 4%, with sales growing across all four segments"
17,"Sales in tracked channels remain healthy and we continue to see very strong growth in non-tracked channels, particularly in e-commerce and clubs"
18,I will now turn to our results by segment
19,"In our Cleaning segment, Q1 volume and sales, each grew 5%"
20,Sales growth this quarter also include less than two points of benefits from shipments related to the recent hurricane
21,"Cleaning segment's strong top line growth was led by home care, which grew by high-single digits on top of the double-digit growth in the year-ago quarter"
22,"We're very pleased by the continued momentum of our largest SBU, especially as the growth continues to reflect broad-based strength across the Clorox equity portfolio, with all-time record shipments of Clorox Disinfecting Wipes, as well as our recently introduced Scentiva wipes and sprays"
23,"Consistent with these results, home care delivered its 13th consecutive quarter of market share gains"
24,"In laundry, sales and volume grew mainly behind shipments of Clorox liquid bleach, as retailers stock-up for hurricane-related purchases"
25,The quarter's results also reflect continued growth in our premium Clorox Splash-Less bleach resulting in share gains on total Clorox liquid bleach
26,"Lastly, within the Cleaning segment, our professional products volume and sales were flat, reflecting the divestiture of the Aplicare business in late August"
27,The balance of professional products business is performing strongly
28,"Turning to Household segment, first quarter volume increased 7% and sales grew 5%, with broad-based growth across all business units"
29,"Starting with our Glad bags and wraps business, sales growth was driven by ongoing success from our premium OdorShield trash bags, especially in e-com and the club channel as well as slight gain from hurricane-related shipments"
30,"In Charcoal, volume grew slightly while sales declined slightly, due to unfavorable mix as well as higher trade promotion investments to support our business"
31,We continue to feel good about our plans for this business going forward and the category is healthy
32,Cat Litter volume and sales
33,each grew by high-single digits behind our Fresh Step innovation and strong merchandising support
34,We're pleased with the strong momentum we are seeing on this business as reflected by four consecutive quarters of market share growth
35,"Finally, turning to RenewLife, Q1 was the first full quarter lapping the acquisition"
36,"We're pleased to report high-single digit sales growth behind distribution expansion, leveraging our sales capabilities"
37,"Additionally, we started distribution within the club channel in October"
38,"In our Lifestyle segment, volume increased 2% and sales grew 4%"
39,"Burt's Bees delivered double-digit sales growth this quarter, behind the introduction of our new natural cosmetics line, and first-ever distribution expansion of lip care in the club channel"
40,Burt's Bees grew share in the quarter and we're very pleased with our share gains in the lip color category
41,"In our Brita business, volume and sales declined as gains from innovation behind our new Stream pitcher were more than offset by lower club channel merchandising and a strategic choice to rationalize a lower-margin part of our portfolio"
42,"That said, the Stream pitcher is performing well six months after launch, and is now the number two pour-through item behind our Brita Legacy pitcher, which is the market leader"
43,"To wrap up Lifestyle, food volume and sales grew behind strong merchandising in club and grocery channels for bottled Hidden Valley dressings"
44,"Consumptions remain very strong, and we are especially pleased that our Hidden Valley brand delivered 11th consecutive quarter of share growth"
45,"Finally, turning to International"
46,"Volume was down 2%, although sales grew 1%"
47,"Sales growth reflects the benefits of pricing and innovation, partially offset by unfavorable mix and weaker volume in Argentina due to macroeconomic conditions, and in Puerto Rico, from the impact of the hurricanes"
48,"We continue to focus on our Go Lean strategy to drive margin improvement, while selectively investing in Burt's Bees, RenewLife, laundry and home care"
49,"Now, I'll turn it over to Steve, who'll provide more information on our Q1 performance and discuss our updated outlook for fiscal year 2018."
50,We'll take one more question
