,Sentences
0,"Thank you, Jason, good morning, everyone"
1,"It's been an eventful quarter and certainly an eventful year and as always, I am pleased to give some commentary"
2,I'll start by commenting on the unusual set of hurricanes we experienced this summer
3,"I know that most of the country has moved on to other things, but this was such an unusual and such an impactful set of storms that I need to comment on it"
4,"Firstly, I would like to emphasize just how unique this series of storms was"
5,"It's highly unusual to be hit with five major hurricanes in a row under any circumstances, but these storms were unusual for another reason as well"
6,Each of these storms followed a path that exactly matched our major trade routes
7,Somehow these storms seemed to know exactly when and exactly where to hit to cause the most destruction and the most misery
8,The devastation was heartrending
9,You can't look at all the damage without feeling the pain our friends had to bear and are still experiencing every day
10,"For us, we have estimated that the direct cost of the storms was in excess of $55 million"
11,"That makes it by far the most expensive hurricane season in our 45-year history, but we and they are resilient"
12,You can see how hard our friends in the Caribbean and Texas and in Florida have worked to return to normalcy
13,They have worked tirelessly to rebuild the homes and the communities that were so devastated
14,Communications in the Caribbeans are now greatly improved and water has largely been restored
15,"We can attest to the living without electricity is a trial, but the situation is getting better every day and is now mainly a problem in the rural and residential areas"
16,"Fortunately, everyone seems to appreciate just how important tourism and especially cruise tourism is to the economic recovery that will be so critical going forward"
17,The government and the local people are highly focused on bringing the tourism infrastructure back up to snuff
18,They know that tourism continues to be the economic driver that will speed the recovery effort and they have pushed us to reinstate our calls as quickly as possible
19,The travel agent community has also been a very positive force in this effort
20,They can get the word out better than anyone else and they have done so yet again here
21,I've had a chance to visit some of the hardest hit areas and I am very impressed with the progress they are making
22,We resumed operating cruises from San Juan almost a month ago and we returned to the destination as a port of call later this month
23,"This Friday, we returned to St"
24,"Thomas, where our partnership to restore and enhance the iconic Magens Bay has already produced dramatic results"
25,Maarten has been rapidly rebuilding and we will return there in just a few weeks
26,"Overall, I am happy and frankly very impressed to report that the tourist areas, where our guests go, are largely back to their original state"
27,"While many residential areas that were damaged are still under repair, the tourist areas that we visit suffered less damage and have mostly been cleaned up"
28,I am also proud of our industry's response in providing humanitarian assistance to this area
29,"Their needs are so great that our impact is necessarily limited, but it's good to be able to give back a little to the region that has been our partner for so long"
30,"I'd like to thank our employees, who worked so hard during this challenging period, in many cases, having to do so while dealing with their own exposures at home"
31,The logistical issues were daunting
32,"For example, we had to make more special working (06:14) arrangements in just the month of September than we would normally expect to do so in any normal three-year period"
33,"We had to reroute ships, make new provisioning arrangements and communicate with thousands of nervous travelers"
34,Our team did it all smoothly and efficiency
35,Hats off to them
36,"As an aside, having spent time looking at the situation in the Caribbean, I am convinced that the Caribbean countries that were hit will emerge down the road stronger than they were before the storms"
37,"It's going to be a tough slog to get there, but get there they will"
38,"There is clearly a determination, not only fix what was destroyed, but to rebuild better than ever"
39,"Cruise tourism will undoubtedly be one of the drivers of that resurgence and we, at Royal Caribbean, intend to be a constructive force in that process"
40,I'd like to turn now to the impact of the storms on our bookings
41,"Obviously, the hurricanes interfered with our normal bookings in the area"
42,"During the several weeks of the storms, Caribbean bookings dropped precipitously, both for the hurricane period and for the period beyond"
43,"None of that is surprising, but what is surprising is how quickly our bookings in the period recovered"
44,"The drop-off in bookings was very rapid, but the recovery was also rapid"
45,"Today, virtually all our bookings in the region are back to pre-storm levels"
46,"There are exceptions, but these remain outliers"
47,"Now, this pattern of rapid recovery has implications well beyond just these storms"
48,We believe that this unusually fast recovery may actually be a reflection of an important cultural change
49,"We've noticed a significant change in the way people in general seem to respond to unusual events, whether those events are weather, geopolitical acts or something else"
50,"Years ago, a bad incident would have a strong and a lasting impact"
51,"Whenever something happened, our bookings would fall and they would stay down for an extended period"
52,People seem to call curl up in a ball and obsess about whatever the issue was
53,It could and it did impact bookings for a really long time
54,"Even after the event left the front page, people would persist in focusing on it"
55,"Eventually, they would move on and bookings would recover, but that process seemed to take forever"
56,"More recently, we have seen a much more sanguine response"
57,"Instead of the incident lingering for a long time, the recovery seems much quicker"
58,People seem to be more apt today to see such events as ordinary with little impact
59,"The events still aren't normal, but they are seen as less relevant to the broader audience"
60,"In effect, the public appears to become inured to such one-off events"
61,"They're still interested in the event and concerned about it, but people seem to continue living their lives with less change"
62,They move on
63,"From a societal point of view, I have to say that it's discouraging that we've reached such a point"
64,It's distressing that incidents are now so common that society seems to have formed a thicker skin towards them
65,"On the other hand, as a response to the actual events, it's probably more constructive if society doesn't allow such things to interfere with our normal day-to-day existence"
66,"From a purely commercial point of view, this cultural shift is very helpful"
67,It's much better for us if the negative impact of such incidence is so much more fleeting than in the past
68,"Against this background, we are extremely pleased and frankly a little surprised that we are still able to stay within our EPS guidance for the year at a range of $7.35 to $7.40 a share"
69,"Indeed, a couple of months ago, when we upped the midpoint of our guidance to $7.40, we thought that we were being reasonably aggressive with our forecast"
70,and we certainly didn't expect that we would be raising it anytime soon
71,The fact that we have been willing to able to withstand a $0.26 hit from the storms and still achieve this level of profitability reflects how strongly the market is performing this year
72,It's also nice that this performance has allowed us to reach an interesting milestone
73,Our Double-Double program continues to produce the forward momentum we were hoping for
74,"Indeed, it is exciting and gratifying to note, as [Technical Difficulty] (11:06) press release that we've already achieved Double-Double for the 12 months ended September 30."
75,"Specifically, for the last 12 months, our earnings have been more than twice our 2014 EPS and our ROIC exceeded 10%, all this three months ahead of schedule"
76,"As you know, the purpose of the program was to galvanize our 67,000 employees to all pull in the same direction"
77,I am overwhelmed by how well our teams responded to the program
78,and I'm extremely grateful for their efforts and initiatives to make the Double-Double so successful
79,"Now, we won't declare victory until 2017 is over, but the very strong energy created by the Double-Double program has been a home run for us"
80,"We want to see that energy, that passion, continue indefinitely"
81,"Since this is the final year of the Double-Double, we wanted to develop a program that leveraged the culture and the discipline instilled by that program while also including a broader set of goals"
82,"As suggested in earlier calls, these goals are focused more on the drivers of success than only the outcomes"
83,We're calling this new journey our 2020 Vision
84,"The 2020 Vision program calls for further improving our brands' already-excellent guest ratings, calls for raising employee engagement scores and it calls for achieving the sustainability commitments made with the World Wildlife Fund"
85,"These drivers should help us achieve double-digit earnings per share by 2020, while further improving our double-digit return on invested capital"
86,We see 2020 Vision as our guiding focus for the organization over the coming years
87,"Now, shifting back to the consumer environment and the current booking environment, I'd like to comment on another important consumer trend"
88,"The very strong year we're having is, of course, partially due to a strong economy and to the high level of confidence that appears to be prevalent among consumers"
89,"However, the trend also reflects a significant shift in the way cruises are viewed by the public, a shift which has been building for a long time"
90,"On most of these calls in the past, we've discussed the supply/demand curves for the cruise industry"
91,"Usually, the focus of that discussion has been very much weighted towards the supply side"
92,"Implicitly, the demand side of the equation was used almost as a given"
93,"As a result, we rarely talk much about demand and focus more on supply"
94,I think that misses an important part of the equation
95,"So, today, I want to comment more on the demand side of the equation, because we're experiencing some very real changes there and those changes on the demand side are important to our future"
96,The first point I want to make relates to a phenomenon that seems to be impacting consumers generally
97,You've all heard me comment in the past that people seem to be more interested today in buying experiences than buying things
98,"5 or 10 years ago, I probably would have cited Samsung or LG as a primary concern of ours, because people are so focused on buying new TV sets or new appliances or whatever"
99,"More recently, the focus has decidedly shifted to people looking for experiences, in particular, experiences for the whole family"
100,This shift in the way people vacation plays beautifully to our sweet spot
101,I believe that we're experiencing the benefits of that shift today and it's partially the reason that we're doing so well
102,"Another factor is that while societal norms have changed, we also have changed to accommodate"
103,"Over the years as people's habits and tastes have changed, we've shifted our product to take advantage of these new consumer buying practices"
104,"For example, in the 1970s and 1980s, there was a dramatic shift in the way ships were designed and built"
105,"Instead of ships being designed as a form of transportation, we shifted to ships that were designed specifically for cruising"
106,Our aspirations at the time were for ships to be more yacht-like
107,"Now, that change really brought cruising into the modern era, but in the 1980s and 1990s, there was another change in people's expectations"
