,Sentences
0,PACCAR reported strong revenues and net income for the second quarter of 2017.
1,"PACCAR's second quarter sales and Financial Services revenues were $4.7 billion and second quarter net income was $373 million, a 7.9% after-tax return on revenues"
2,PACCAR Parts achieved record quarterly revenues of $823 million and record pretax profits of $152 million
3,"PACCAR achieved excellent combined truck and parts gross margins of 14.6%, driven by higher North American truck deliveries, the strong European truck market and the record"
4,PACCAR Parts results
5,"I'm very proud of our 24,500 employees around the world who have delivered outstanding products and services to our customers"
6,"PACCAR delivered 39,400 trucks during the second quarter, 13% higher than the first quarter and 6% above last year's second quarter"
7,Peterbilt and Kenworth raised build rates during the quarter in response to robust order intake this year
8,"Looking ahead, PACCAR expects 2% to 3% higher deliveries in the third quarter compared to the second due to the higher build rates in all markets, partially offset by fewer build days in Europe due to the normal summer shutdown"
9,Third quarter gross margins are projected to be comparable to second quarter margins
10,"We've raised our forecast for Europe's above 16-tonne market to a range of 290,000 to 310,000 units, reflecting strong demand and the steady economic outlook"
11,Europe's GDP growth expectations for this year are 1.8% in the U.K
12,and on the continent
13,Freight transport activity on German highways year-to-date was at record levels and up 3.6% compared to the same period last year
14,"During the second quarter, DAF introduced new model year 2017 XF and CF trucks which deliver up to 7% higher fuel economy compared to the previous models"
15,This contributed to DAF's 10% growth in above 16-tonne orders in the first half this year compared to the same period last year
16,"and Canadian Class 8 truck industry retail sales are expected to be in the range of 200,000 to 220,000 units this year"
17,Class 8 truck industry orders were up 44% in the first half this year compared to the same period in 2016.
18,Peterbilt and Kenworth's Class 8 retail sales market share was an excellent 31% in the second quarter and 29.6% year-to-date through June
19,"Customers appreciate the ongoing investments by Kenworth and Peterbilt in enhanced truck models, expanded PACCAR powertrain options and onboard technology"
20,"economy's steady expansion is projected to be 2.2% GDP growth and 1.8% industrial production growth this year, supporting healthy freight levels"
21,PACCAR Parts' quarterly pretax income of $152 million was 14% higher than a year ago
22,PACCAR Parts' quarterly revenues of $823 million were 9% higher than in the same quarter of last year
23,"These results were driven by the growing number of PACCAR trucks and engines in operation, our outstanding logistics capabilities which provide high parts availability to dealers and customers and the growing number of TRP"
24,All Makes retail stores globally
25,PACCAR Financial Services' second quarter pretax income increased 10% to $63 million compared to $57 million last quarter
26,The portfolio continued to perform well
27,U.S
28,Class 8 industry truck -- used trucks volumes increased during the quarter
29,Kenworth and Peterbilt truck resale values continue to command a 10% to 20% premium over competitors' vehicles
30,PACCAR's strong balance sheet and positive cash flow have enabled the company to invest over $3 billion in new products and facilities in the last 5 years
31,"This year, capital expenditures of $375 million to $425 million and research and development expenses of $250 million to $270 million are targeted for truck and powertrain product development, enhanced manufacturing and parts distribution facilities and aftermarket support programs"
32,"We're pleased to announce then new PACCAR Silicon Valley Innovation Center which will open this year in Sunnyvale, California"
33,The facility will coordinate next-generation product development and will identify emerging technologies for the benefit of future vehicle performance
34,"The Innovation Center will develop exciting new technology applications for advanced driver assistance systems, artificial intelligence, vehicle connectivity and augmented reality, complementing the research and development currently happening in PACCAR's truck divisions and technical centers"
35,PACCAR looks forward to expanding its partnerships with the many innovative technology companies in Silicon Valley
36,"We're very proud of our team at the PACCAR engine factory in Columbus, Mississippi"
37,"Since opening in 2010, the plant has demonstrated its world-class diesel engine manufacturing capabilities and was recently named Quality Magazine's plant of the year"
38,We're nearing completion of a $35 million investment in additional capacity at Columbus to support growing customer demand for the PACCAR MX-13 and PACCAR MX-11 engines
39,PACCAR continues to enhance its leadership position in the global truck market by delivering the highest quality products and services in the industry
40,Thank you
41,I'd be pleased to answer your questions
42,Question-and-Answer Session
43,"Total deliveries are up 2% to 3%, so the higher average build rates in North America as well as in Australia, Mexico and Brazil are then offset by the seasonal summer shutdown in Europe"
44,"At this point, assuming the economy continues to tick along and we feel good about our build rates and maintaining those through the rest of this year"
45,"Yes, I think in the second quarter, the values in Europe were very stable and in the U.S"
46,", down just slightly but very comparable to first quarter levels"
47,And the amount of the used truck results in the second quarter were about $4 million better than the first quarter
48,So I think we talked earlier about a range of 14% to 14.5%
49,I think we'll be closer to the upper end of that range for the full year
