,Sentences
0,"Thank you, Laura, and good afternoon to all those listening in today"
1,Q2 was a strong quarter for us as we continued to ramp our high-performance product portfolio
2,"Second quarter revenue increased 19% to $1.22 billion, and gross margin improved year-over-year"
3,"Importantly, we returned to non-GAAP net income profitability in the quarter, driven by strong growth in our Computing and Graphics segment"
4,"Looking at our Computing and Graphics segment, we made excellent progress in the quarter and reported operating profitability for the first time in three years based on our leadership Ryzen processor and GPU product offerings"
5,"The expansion and growing adoption of our Ryzen CPUs, combined with our sixth consecutive quarter of double-digit year-over-year Graphics revenue growth, resulted in a 51% increase in Computing and Graphics segment sales year-over-year"
6,"Client computing revenue increased by strong double-digit percentage from a year ago, driven by a significant ramp and strong sell-through of our Ryzen CPUs in the first full quarter of sales"
7,Our Ryzen family of processors drove a richer mix of shipments and client ASPs improved significantly from a year ago
8,"All major PC OEMs have announced premium Ryzen-based desktop systems, with widespread availability expected for the back-to-school and holiday seasons"
9,"As we move into the second half of 2017, we are on track to complete the full family of Ryzen processors, including Ryzen 3 processors targeting the mainstream and value market segments with on-Shop availability later this week; Ryzen Threadripper products for the high-end desktop markets with global component channel availability in early August; Ryzen PRO-based offerings targeting the commercial client segments with availability in Q3; and Ryzen Mobile APUs, which will be available for the consumer market later this year"
10,"In Graphics, GPU revenue increased by a strong double-digit percentage from year ago, with higher unit shipments and ASPs driving growth across our desktop and mobile GPU products"
11,"Demand for Radeon RX GPUs was strong in the quarter, driven by gaming and cryptocurrency mining"
12,"In June, we began the introduction of our Vega GPU architecture with the launch of the Radeon Vega Frontier Edition, delivering a powerful professional workstation graphics card designed to tackle demanding design, rendering and machine intelligence workloads"
13,"Apple announced that our Radeon Pro Vega product will power the new iMac Pro, a workstation-class product line designed for creators running the most demanding workflows"
14,"In addition, Apple also announced expanded iMac offerings, which are powered by the Radeon Pro 500 Series"
15,"We will launch additional Radeon Vega products at SIGGRAPH next week, expanding further in the premium portions of the consumer and professional GPU markets"
16,Our investments in GPU compute and Radeon Instinct are continuing to build momentum
17,We introduced our first Vega-based Radeon Instinct datacenter products in June
18,"These new GPU accelerators will significantly increase performance, efficiency and ease of implementation for machine learning and high-performance computing workloads"
19,We also showcased a server powered by AMD's EPYC SoC and four Radeon Instinct MI25 accelerators working together to deliver groundbreaking performance of 100 teraFLOPS
20,Interest and excitement are high as we recently started shipments of our Radeon Instinct MI25 accelerators to strategic datacenter customers
21,"Turning to our Enterprise, Embedded and Semi-Custom segment, revenue declined 5% year-over-year and increased 44% sequentially"
